"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that there is no read-only endpoint in a standalone cluster.","90008","test_primary_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Sun Aug 31 01:39:34 UTC 2025","passed","Sun Aug 31 01:41:04 UTC 2025","","test_new_relations_1","",""
"Deploy Mailman3 Core to test the 'db' relation.","694269","test_mailman3_core_db","tests.integration","Sun Aug 31 01:31:38 UTC 2025","passed","Sun Aug 31 01:43:12 UTC 2025","","test_db","",""
"","80","test_exporter_is_up[1]","tests.integration","Sun Aug 31 01:38:51 UTC 2025","passed","Sun Aug 31 01:38:51 UTC 2025","","test_charm","",""
"Build and deploy two PostgreSQL clusters.","621953","test_build_and_deploy","tests.integration.ha_tests","Sun Aug 31 01:31:56 UTC 2025","passed","Sun Aug 31 01:42:18 UTC 2025","","test_scaling_three_units_async","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","919183","test_deploy_async_replication_setup","tests.integration.ha_tests","Sun Aug 31 01:31:26 UTC 2025","passed","Sun Aug 31 01:46:45 UTC 2025","","test_async_replication","",""
"","","test_modern_endpoint_with_multiple_related_endpoints","tests.integration.relations","","unknown","","","test_relations","",""
"Build, deploy two units of PostgreSQL and do backup in AWS. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","1991202","test_pitr_backup_aws","tests.integration","Sun Aug 31 01:31:30 UTC 2025","passed","Sun Aug 31 02:04:41 UTC 2025","","test_backups_pitr_aws","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","2390","test_password_from_secret_same_as_cli","tests.integration","Sun Aug 31 01:43:43 UTC 2025","passed","Sun Aug 31 01:43:46 UTC 2025","","test_password_rotation","",""
"Build, deploy two units of PostgreSQL and do backup in GCP. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","2093960","test_pitr_backup_gcp","tests.integration","Sun Aug 31 01:32:09 UTC 2025","passed","Sun Aug 31 02:07:03 UTC 2025","","test_backups_pitr_gcp","",""
"","871069","test_removing_raft_majority","tests.integration.ha_tests","Sun Aug 31 02:01:12 UTC 2025","passed","Sun Aug 31 02:15:43 UTC 2025","","test_scaling","",""
"Test password rotation action.","282932","test_password_rotation","tests.integration","Sun Aug 31 01:39:01 UTC 2025","passed","Sun Aug 31 01:43:43 UTC 2025","","test_password_rotation","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","382021","test_plugins","tests.integration","Sun Aug 31 01:31:35 UTC 2025","passed","Sun Aug 31 01:37:57 UTC 2025","","test_plugins","",""
"","43","test_exporter_is_up[2]","tests.integration","Sun Aug 31 01:38:51 UTC 2025","passed","Sun Aug 31 01:38:51 UTC 2025","","test_charm","",""
"Test that the pre-upgrade-check action runs successfully.","3366","test_pre_upgrade_check","tests.integration.ha_tests","Sun Aug 31 01:42:02 UTC 2025","passed","Sun Aug 31 01:42:05 UTC 2025","","test_upgrade_from_stable","",""
"","0","test_extensions_blocking","tests.integration","Sun Aug 31 01:47:18 UTC 2025","skipped","Sun Aug 31 01:47:18 UTC 2025","","test_db","",""
"","1028","test_settings_are_correct[2]","tests.integration","Sun Aug 31 01:38:53 UTC 2025","passed","Sun Aug 31 01:38:54 UTC 2025","","test_charm","",""
